Qty,Designator,Package,MPN,Purchase Link
3,"R6, R9, R10",0603-MINI,ERJ-PA3J103V,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-PA3J103V
1,C6,0603-MINI-CAP,CL10A106MP8NNNC,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL10A106MP8NNNC/3887529
1,C14,0603-MINI-CAP,CL10A105KP8NNNC,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL10A105KP8NNNC/3889268
1,J5,503182-1852_MOLEX_503182-1852,5031821852,https://www.digikey.ca/en/products/detail/molex/5031821852/5823232
1,U1,ESP32-WROVER_ESP32-WROVER,ESP32-WROVER-E-N16R8,https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-WROVER-E-N16R8/11613147
2,"S1, S2",SWITCHES_TACTILE_SWITCH_SMD_4.6X2.8MM,KMR221GLFS,https://www.digikey.ca/en/products/detail/c-k/KMR221GLFS/550472?s=N4IgTCBcDaINIFkBKYwEYDiAZAYgZRAF0BfIA
2,"Q4, Q5",SOT23-3,MMBT2222A-7-F,https://www.digikey.ca/en/products/detail/diodes-incorporated/MMBT2222A-7-F/814503
